Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"3,328,100","3,225,100","2,919,100","2,668,200","3,217,800"
Cost of Revenue,"1,888,100","1,854,800","1,645,500","1,512,600","1,856,500"
Gross Profit,"1,440,000","1,370,300","1,273,600","1,155,600","1,361,300"
Operating Expense,"952,900","870,700","773,200","762,300","793,600"
Operating Income,"487,100","499,600","500,400","393,300","567,700"
Net Non Operating Interest Income Expense,"-2,300","6,300","10,500","2,900","5,600"
Other Income Expense,"-148,900","-85,100","-58,800","-51,400","-16,900"
Pretax Income,"335,900","420,800","452,100","344,800","556,400"
Tax Provision,"104,000","128,600","301,800","87,700","153,700"
Net Income Common Stockholders,"231,500","291,900","149,900","249,600","402,300"
Diluted NI Available to Com Stockholders,"231,500","291,900","149,900","249,600","402,300"
Basic EPS,-,0.0034,0.0016,0.0027,0.0042
Diluted EPS,-,0.0034,0.0016,0.0027,0.0042
Basic Average Shares,-,"91,000","91,500","92,500","95,400"
Diluted Average Shares,-,"91,900","92,500","93,200","96,000"
Total Operating Income as Reported,"329,600","386,200","441,600","341,900","550,800"
Total Expenses,"2,841,000","2,725,500","2,418,700","2,274,900","2,650,100"
Net Income from Continuing & Discontinued Operation,"231,500","291,900","149,900","249,600","402,300"
Normalized Income,"337,198","367,685","192,824","294,744","414,536"
Interest Income,"13,300","15,100","17,300","13,600","17,400"
Interest Expense,"15,600","8,800","6,800","10,700","11,800"
Net Interest Income,"-2,300","6,300","10,500","2,900","5,600"
EBIT,"351,500","429,600","458,900","355,500","568,200"
EBITDA,"456,900",-,-,-,-
Reconciled Cost of Revenue,"1,888,100","1,854,800","1,645,500","1,512,600","1,856,500"
Reconciled Depreciation,"105,400","93,000","72,700","76,900","79,800"
Net Income from Continuing Operation Net Minority Interest,"231,500","291,900","149,900","256,400","402,300"
Total Unusual Items Excluding Goodwill,"-153,100","-109,200","-58,800","-51,400","-16,900"
Total Unusual Items,"-153,100","-109,200","-58,800","-51,400","-16,900"
Normalized EBITDA,"610,000","631,800","590,400","483,800","664,900"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-47,402","-33,415","-15,876","-13,056","-4,664"
