Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"27,381,000","27,812,000","14,514,000","13,692,000","13,166,000"
Cost of Revenue,"17,040,000","17,223,000","9,111,000","8,438,000","7,956,000"
Gross Profit,"10,341,000","10,589,000","5,403,000","5,254,000","5,210,000"
Operating Expense,"6,125,000","6,090,000","2,440,000","2,768,000","2,551,000"
Operating Income,"4,216,000","4,499,000","2,963,000","2,486,000","2,659,000"
Net Non Operating Interest Income Expense,"-902,000","-896,000","-410,000","-393,000","-379,000"
Other Income Expense,"-905,000","-258,000","-264,000","-114,000","-50,000"
Pretax Income,"2,409,000","3,345,000","2,289,000","1,979,000","2,230,000"
Tax Provision,"504,000","-9,000","273,000","633,000","628,000"
Earnings from Equity Interest Net of Tax,"-44,000","-53,000","-56,000","-37,000","-50,000"
Net Income Common Stockholders,"1,865,000","3,308,000","1,960,000","357,000","1,261,000"
Diluted NI Available to Com Stockholders,"1,865,000","3,308,000","1,960,000","357,000","1,261,000"
Basic EPS,-,-,0.0052,0,0.0028
Diluted EPS,-,-,0.0051,0,0.0028
Basic Average Shares,-,-,"377,000","401,000","444,000"
Diluted Average Shares,-,-,"381,000","407,000","448,000"
Total Operating Income as Reported,-,"4,273,000","2,768,000","2,423,000","2,621,000"
Total Expenses,"23,165,000","23,313,000","11,551,000","11,206,000","10,507,000"
Net Income from Continuing & Discontinued Operation,"1,865,000","3,308,000","1,960,000","357,000","1,261,000"
Normalized Income,"2,488,351","3,352,490","2,131,795","1,385,160","1,579,284"
Interest Income,"61,000","66,000","57,000","64,000","32,000"
Interest Expense,"963,000","962,000","467,000","457,000","411,000"
Net Interest Income,"-902,000","-896,000","-410,000","-393,000","-379,000"
EBIT,"3,372,000","4,307,000","2,756,000","2,436,000","2,641,000"
EBITDA,"3,822,000",-,-,-,-
Reconciled Cost of Revenue,"17,040,000","17,223,000","9,111,000","8,438,000","7,956,000"
Reconciled Depreciation,"217,000","443,000","223,000","223,000","225,000"
Net Income from Continuing Operation Net Minority Interest,"1,832,000","3,270,000","1,960,000","1,309,000","1,552,000"
Total Unusual Items Excluding Goodwill,"-830,000","-113,000","-195,000","-112,000","-38,000"
Total Unusual Items,"-830,000","-113,000","-195,000","-112,000","-38,000"
Normalized EBITDA,"4,652,000","4,863,000","3,174,000","2,771,000","2,904,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-173,649","-30,510","-23,205","-35,840","-10,716"
