Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"106,163,000","108,324,000","117,033,000","93,980,000","75,659,000"
Cost of Revenue,"104,003,000","103,546,000","111,439,000","89,433,000","69,422,000"
Gross Profit,"2,160,000","4,778,000","5,594,000","4,547,000","6,237,000"
Operating Expense,"909,000","942,000","1,022,000","948,000","2,609,000"
Operating Income,"1,251,000","3,836,000","4,572,000","3,599,000","3,628,000"
Net Non Operating Interest Income Expense,"-467,000","-454,000","-470,000","-468,000","-446,000"
Other Income Expense,"114,000","104,000","130,000","76,000",-
Pretax Income,"898,000","3,486,000","4,232,000","3,207,000","3,182,000"
Tax Provision,"35,000","702,000","879,000","-949,000","765,000"
Net Income Common Stockholders,"423,000","2,415,000","3,122,000","4,065,000","2,289,000"
Average Dilution Earnings,"7,000","7,000",-,-,-
Diluted NI Available to Com Stockholders,"430,000","2,422,000","3,122,000","4,065,000","2,289,000"
Basic EPS,-,0.0058,0.0073,0.0092,0.0049
Diluted EPS,-,0.0058,0.0073,0.0092,0.0049
Basic Average Shares,-,"413,000","426,000","442,000","461,000"
Diluted Average Shares,-,"414,000","428,000","444,000","464,000"
Total Operating Income as Reported,"1,251,000","3,836,000","4,572,000","3,599,000","3,572,000"
Total Expenses,"104,912,000","104,488,000","112,461,000","90,381,000","72,031,000"
Net Income from Continuing & Discontinued Operation,"430,000","2,422,000","3,122,000","4,065,000","2,289,000"
Normalized Income,"430,000","2,422,000","3,122,000","4,065,000","2,331,560"
Interest Expense,"467,000","454,000","470,000","468,000","446,000"
Net Interest Income,"-467,000","-454,000","-470,000","-468,000","-446,000"
EBIT,"1,365,000","3,940,000","4,702,000","3,675,000","3,628,000"
EBITDA,"3,651,000",-,-,-,-
Reconciled Cost of Revenue,"101,769,000","101,344,000","109,422,000","87,499,000","69,422,000"
Reconciled Depreciation,"2,286,000","2,255,000","2,069,000","1,986,000","1,894,000"
Net Income from Continuing Operation Net Minority Interest,"430,000","2,422,000","3,122,000","4,065,000","2,289,000"
Total Unusual Items Excluding Goodwill,-,-,0,0,"-56,000"
Total Unusual Items,-,-,0,0,"-56,000"
Normalized EBITDA,"3,651,000","6,195,000","6,771,000","5,661,000","5,578,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,"-13,440"
