Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,929,103","4,929,103","4,382,869","3,890,296","3,592,667"
Cost of Revenue,"3,673,202","3,673,202","3,281,924","2,889,735","2,591,850"
Gross Profit,"1,255,901","1,255,901","1,100,945","1,000,561","1,000,817"
Operating Expense,"402,195","402,195","368,176","371,280","337,812"
Operating Income,"853,706","853,706","732,769","629,281","663,005"
Net Non Operating Interest Income Expense,"-129,000","-129,000","-137,423","-291,085","-133,269"
Other Income Expense,"32,995","32,995","27,944","23,120","17,521"
Pretax Income,"757,701","757,701","623,290","361,316","547,257"
Tax Provision,"135,198","135,198","105,449","-232,075","124,851"
Net Income Common Stockholders,"617,662","617,662","515,805","601,185","419,491"
Diluted NI Available to Com Stockholders,"617,662","617,662","515,805","601,185","419,491"
Basic EPS,-,-,0.0039,0.0045,0.0032
Diluted EPS,-,-,0.0039,0.0045,0.0031
Basic Average Shares,-,-,"132,393","132,513","133,205"
Diluted Average Shares,-,-,"133,926","134,878","135,790"
Total Operating Income as Reported,"877,458","877,458","747,713","647,108","679,582"
Total Expenses,"4,075,397","4,075,397","3,650,100","3,261,015","2,929,662"
Interest Income,"1,155","1,155",554,"4,437",807
Interest Expense,"130,155","130,155","137,977","295,522","134,076"
Net Interest Income,"-129,000","-129,000","-137,423","-291,085","-133,269"
Net Income from Continuing & Discontinued Operation,"617,662","617,662","515,805","601,185","419,491"
Normalized Income,"602,979","602,979","505,423","582,695","409,609"
EBIT,"887,856","887,856","761,267","656,838","681,333"
EBITDA,"1,262,452",-,-,-,-
Reconciled Cost of Revenue,"3,673,202","3,673,202","3,281,924","2,889,735","2,591,850"
Reconciled Depreciation,"374,596","374,596","346,246","294,550","273,881"
Net Income from Continuing Operation Net Minority Interest,"622,503","622,503","517,841","593,391","422,406"
Total Unusual Items Excluding Goodwill,"23,752","23,752","14,944","17,827","16,577"
Total Unusual Items,"23,752","23,752","14,944","17,827","16,577"
Normalized EBITDA,"1,238,700","1,238,700","1,092,569","933,561","938,637"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"4,228","4,228","2,526","7,131","3,780"
