Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,607,100","2,607,100","2,395,100","2,145,200","1,995,200"
Cost of Revenue,"976,800","976,800","886,200","783,800","714,400"
Gross Profit,"1,630,300","1,630,300","1,508,900","1,361,400","1,280,800"
Operating Expense,"933,400","933,400","674,800","560,200","513,200"
Operating Income,"696,900","696,900","834,100","801,200","767,600"
Net Non Operating Interest Income Expense,"-126,800","-126,800","-129,700","-119,400","-120,000"
Other Income Expense,"-1,700","-1,700","15,300","9,200","6,100"
Pretax Income,"568,400","568,400","719,700","691,000","653,700"
Tax Provision,"118,500","118,500","121,000","135,900","202,200"
Net Income Common Stockholders,"449,900","449,900","598,700","555,100","591,200"
Diluted NI Available to Com Stockholders,"487,200","449,900","598,700","555,100","591,200"
Basic EPS,-,-,0.0036,0.0034,0.0035
Diluted EPS,-,-,0.0036,0.0033,0.0035
Basic Average Shares,-,-,"164,808","165,168","168,248"
Diluted Average Shares,-,-,"168,298","168,689","171,172"
Total Operating Income as Reported,"696,900","696,900","834,100","801,200","767,600"
Total Expenses,"1,910,200","1,910,200","1,561,000","1,344,000","1,227,600"
Net Income from Continuing & Discontinued Operation,"449,900","449,900","598,700","555,100","704,500"
Normalized Income,"451,245","451,245","585,970","547,712","447,285"
Interest Expense,"126,800","126,800","129,700","119,400","120,000"
Net Interest Income,"-126,800","-126,800","-129,700","-119,400","-120,000"
EBIT,"695,200","695,200","849,400","810,400","773,700"
EBITDA,"1,018,900",-,-,-,-
Reconciled Cost of Revenue,"976,800","976,800","886,200","783,800","701,400"
Reconciled Depreciation,"323,700","323,700","296,100","237,400","224,600"
Net Income from Continuing Operation Net Minority Interest,"449,900","449,900","598,700","555,100","451,500"
Total Unusual Items Excluding Goodwill,"-1,700","-1,700","15,300","9,200","6,100"
Total Unusual Items,"-1,700","-1,700","15,300","9,200","6,100"
Normalized EBITDA,"1,020,600","1,020,600","1,130,200","1,038,600","992,200"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-355.3,-355.3,"2,570","1,812","1,885"
