Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,237,777","1,231,661","1,214,969","1,165,095","1,142,167"
Cost of Revenue,"180,536","180,467","192,134","193,326","198,242"
Gross Profit,"1,057,241","1,051,194","1,022,835","971,769","943,925"
Operating Expense,"245,102","245,067","255,443","264,047","257,353"
Operating Income,"812,139","806,127","767,392","707,722","686,572"
Net Non Operating Interest Income Expense,"-66,858","-64,015","-88,355","-118,392","-109,373"
Other Income Expense,"14,484","16,664","50,479","9,682","3,974"
Pretax Income,"759,765","758,776","729,516","599,012","581,173"
Tax Provision,"-24,123","146,477","147,027","141,764","140,528"
Net Income Common Stockholders,"783,888","612,299","582,489","457,248","440,645"
Diluted NI Available to Com Stockholders,"783,888","612,299","582,489","457,248","440,645"
Basic EPS,-,0.0052,0.0051,0.0046,0.0041
Diluted EPS,-,0.0052,0.0048,0.0037,0.0034
Basic Average Shares,-,"118,513","113,452","100,325","107,001"
Diluted Average Shares,-,"118,968","122,661","124,180","128,833"
Total Operating Income as Reported,"812,139","806,127","767,392","707,722","686,572"
Total Expenses,"425,638","425,534","447,577","457,373","455,595"
Net Income from Continuing & Discontinued Operation,"783,888","612,299","582,489","457,248","440,645"
Normalized Income,"783,888","611,637","543,860","450,007","438,819"
Interest Income,"23,657","26,596","26,490","17,944","6,191"
Interest Expense,"90,515","90,611","114,845","136,336","115,564"
Net Interest Income,"-66,858","-64,015","-88,355","-118,392","-109,373"
EBIT,"850,280","849,387","844,361","735,348","696,737"
EBITDA,"896,249",-,-,-,-
Reconciled Cost of Revenue,"180,536","180,467","192,134","193,326","198,242"
Reconciled Depreciation,"45,969","46,330","48,367","49,878","58,167"
Net Income from Continuing Operation Net Minority Interest,"783,888","612,299","582,489","457,248","440,645"
Total Unusual Items Excluding Goodwill,-,817,"48,286","9,528","2,402"
Total Unusual Items,-,817,"48,286","9,528","2,402"
Normalized EBITDA,"896,249","894,900","844,442","775,698","752,502"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,155.23,"9,657","2,287",576.48
