Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,926,380","3,861,766","3,720,918","3,568,115","3,442,646"
Cost of Revenue,"1,861,085","1,810,527","1,691,298","1,486,463","1,442,073"
Gross Profit,"2,065,295","2,051,239","2,029,620","2,081,652","2,000,573"
Operating Expense,"1,226,308","1,211,616","1,071,621","1,023,438","1,025,799"
Operating Income,"838,987","839,623","957,999","1,058,214","974,774"
Net Non Operating Interest Income Expense,"-442,189","-440,678","-417,605","-442,162","-418,864"
Other Income Expense,"185,572","-15,958","-164,356","-31,902","-33,044"
Pretax Income,"582,370","382,987","376,038","584,150","522,866"
Tax Provision,"-204,069","-56,310","-39,953","-59,799","-31,343"
Net Income Common Stockholders,"780,348","433,016","409,467","1,356,470","649,231"
Diluted NI Available to Com Stockholders,"780,348","433,016","409,467","1,356,470","649,231"
Basic EPS,-,-,0.0012,0.0038,0.0019
Diluted EPS,-,-,0.0011,0.0038,0.0019
Basic Average Shares,-,-,"356,265","355,326","344,703"
Diluted Average Shares,-,-,"359,301","358,566","348,390"
Total Expenses,"3,087,393","3,022,143","2,762,919","2,509,901","2,467,872"
Net Income from Continuing & Discontinued Operation,"780,348","433,016","409,467","639,197","551,028"
Normalized Income,"646,005","455,728","440,541","646,080","568,398"
Interest Income,"15,550","10,984","24,892","6,034",876
Interest Expense,"457,739","451,662","442,497","448,196","419,740"
Net Interest Income,"-442,189","-440,678","-417,605","-442,162","-418,864"
EBIT,"1,040,109","834,649","818,535","1,032,346","942,606"
EBITDA,"2,098,646",-,-,-,-
Reconciled Cost of Revenue,"1,861,085","1,810,527","1,691,298","1,486,463","1,442,073"
Reconciled Depreciation,"1,058,537","1,045,620","919,639","887,948","898,924"
Net Income from Continuing Operation Net Minority Interest,"780,348","433,016","409,477","639,307","551,950"
Total Unusual Items Excluding Goodwill,"184,032","-31,113","-42,554","-11,289","-27,414"
Total Unusual Items,"184,032","-31,113","-42,554","-11,289","-27,414"
Normalized EBITDA,"1,914,614","1,911,382","1,780,728","1,931,583","1,868,944"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"49,689","-8,401","-11,490","-4,516","-10,966"
