Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"131,350,000","131,868,000","130,863,000","126,034,000","125,980,000"
Cost of Revenue,"54,032,000","54,726,000","55,508,000","51,556,000","51,424,000"
Gross Profit,"77,318,000","77,142,000","75,355,000","74,478,000","74,556,000"
Operating Expense,"47,978,000","46,672,000","48,486,000","45,290,000","47,497,000"
Operating Income,"29,340,000","30,470,000","26,869,000","29,188,000","27,059,000"
Net Non Operating Interest Income Expense,"-4,442,000","-4,609,000","-4,739,000","-4,651,000","-4,317,000"
Other Income Expense,"-3,277,000","-3,128,000","-2,507,000","-3,943,000","-1,756,000"
Pretax Income,"21,621,000","22,733,000","19,623,000","20,594,000","20,986,000"
Tax Provision,"2,706,000","2,945,000","3,584,000","-9,956,000","7,378,000"
Net Income Common Stockholders,"18,389,000","19,265,000","15,528,000","30,101,000","13,127,000"
Diluted NI Available to Com Stockholders,"18,389,000","19,265,000","15,528,000","30,101,000","13,127,000"
Basic EPS,-,0.0047,0.0038,0.0074,0.0032
Diluted EPS,-,0.0047,0.0038,0.0074,0.0032
Basic Average Shares,-,"4,138,000","4,128,000","4,084,000","4,080,000"
Diluted Average Shares,-,"4,140,000","4,132,000","4,089,000","4,086,000"
Total Operating Income as Reported,"29,248,000","30,378,000","22,278,000","27,414,000","27,059,000"
Total Expenses,"102,010,000","101,398,000","103,994,000","96,846,000","98,921,000"
Net Income from Continuing & Discontinued Operation,"18,389,000","19,265,000","15,528,000","30,101,000","13,127,000"
Normalized Income,"18,389,000","22,482,193","19,280,487","31,165,400","13,127,000"
Interest Income,"112,000","121,000","94,000","82,000","59,000"
Interest Expense,"4,554,000","4,730,000","4,833,000","4,733,000","4,376,000"
Net Interest Income,"-4,442,000","-4,609,000","-4,739,000","-4,651,000","-4,317,000"
EBIT,"26,175,000","27,463,000","24,456,000","25,327,000","25,362,000"
EBITDA,"42,776,000",-,-,-,-
Reconciled Cost of Revenue,"54,032,000","54,726,000","55,508,000","51,556,000","51,424,000"
Reconciled Depreciation,"16,601,000","16,682,000","17,403,000","16,954,000","15,928,000"
Net Income from Continuing Operation Net Minority Interest,"18,389,000","19,265,000","15,528,000","30,101,000","13,127,000"
Total Unusual Items Excluding Goodwill,-,"-3,696,000","-4,591,000","-1,774,000",-
Total Unusual Items,-,"-3,696,000","-4,591,000","-1,774,000",-
Normalized EBITDA,"42,776,000","47,841,000","46,450,000","44,055,000","41,290,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-478,807","-838,513","-709,600",0
