Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Total Revenue,"138,705,000","136,866,000","131,537,000","118,214,000","117,351,000"
Cost of Revenue,"109,249,000","106,790,000","100,745,000","89,052,000","87,477,000"
Gross Profit,"29,457,000","30,076,000","30,792,000","29,162,000","29,874,000"
Operating Expense,"25,213,000","25,242,000","24,569,000","23,740,000","23,910,000"
Operating Income,"4,244,000","4,834,000","6,223,000","5,422,000","5,964,000"
Net Non Operating Interest Income Expense,"-690,000","-704,000","-616,000","-693,000","-596,000"
Other Income Expense,"332,000","397,000","368,000","124,000","-224,000"
Pretax Income,"3,885,000","4,527,000","5,975,000","4,853,000","5,144,000"
Tax Provision,"375,000","588,000","998,000","760,000","997,000"
Earnings from Equity Interest Net of Tax,"6,000","23,000","54,000","8,000","44,000"
Net Income Common Stockholders,"3,494,000","3,982,000","5,024,000","4,078,000","4,173,000"
Diluted NI Available to Com Stockholders,"3,494,000","3,982,000","5,024,000","4,078,000","4,173,000"
Basic EPS,-,0.0043,0.0051,0.0038,0.0039
Diluted EPS,-,0.0043,0.0051,0.0038,0.0038
Basic Average Shares,-,"921,500","991,000","1,073,500","1,083,100"
Diluted Average Shares,-,"923,500","995,000","1,078,500","1,091,100"
Total Operating Income as Reported,"4,327,000","4,998,000","6,414,000","5,557,000","6,001,000"
Total Expenses,"134,462,000","132,032,000","125,314,000","112,792,000","111,387,000"
Net Income from Continuing & Discontinued Operation,"3,494,000","3,982,000","5,024,000","4,078,000","4,173,000"
Normalized Income,"3,494,000","3,982,000","5,024,000","4,078,000","4,173,000"
Net Interest Income,"-690,000","-704,000","-616,000","-693,000","-596,000"
EBIT,"4,244,000","4,834,000","6,223,000","5,422,000","5,964,000"
EBITDA,"6,261,000",-,-,-,-
Reconciled Cost of Revenue,"109,249,000","106,790,000","100,745,000","89,052,000","87,477,000"
Reconciled Depreciation,"2,017,000","2,038,000","1,770,000","1,654,000","1,718,000"
Net Income from Continuing Operation Net Minority Interest,"3,494,000","3,982,000","5,024,000","4,078,000","4,173,000"
Normalized EBITDA,"6,261,000","6,872,000","7,993,000","7,076,000","7,682,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
