Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"16,083,000","16,569,000","20,647,000","19,093,000","12,994,000"
Cost of Revenue,"12,920,000","12,817,000","12,942,000","13,021,000","9,559,000"
Gross Profit,"3,163,000","3,752,000","7,705,000","6,072,000","3,435,000"
Operating Expense,"3,421,000","3,499,000","3,873,000","3,886,000","2,624,000"
Operating Income,"-258,000","253,000","3,832,000","2,186,000","811,000"
Net Non Operating Interest Income Expense,"-403,000","-412,000","-616,000","-821,000","-240,000"
Other Income Expense,"-44,000","-128,000","-1,131,000","-596,000","-418,000"
Pretax Income,"-705,000","-287,000","2,085,000","769,000","153,000"
Tax Provision,"-110,000","467,000","1,410,000","372,000","-89,000"
Net Income Common Stockholders,"-595,000","-754,000","675,000","397,000","242,000"
Diluted NI Available to Com Stockholders,"-595,000","-754,000","675,000","397,000","242,000"
Basic EPS,-,-0.0026,0.0023,0.0014,0.001
Diluted EPS,-,-0.0026,0.0022,0.0013,0.001
Basic Average Shares,-,"292,000","297,000","288,000","239,000"
Diluted Average Shares,-,"292,000","307,000","296,000","242,000"
Total Operating Income as Reported,"-307,000","87,000","3,617,000","1,954,000","466,000"
Total Expenses,"16,341,000","16,316,000","16,815,000","16,907,000","12,183,000"
Net Income from Continuing & Discontinued Operation,"-595,000","-754,000","675,000","397,000","242,000"
Normalized Income,"-553,645","-632,820","831,950","536,200","449,000"
Interest Income,"40,000","57,000","60,000","26,000","26,000"
Interest Expense,"443,000","469,000","676,000","847,000","266,000"
Net Interest Income,"-403,000","-412,000","-616,000","-821,000","-240,000"
EBIT,"-262,000","182,000","2,761,000","1,616,000","419,000"
EBITDA,"1,343,000",-,-,-,-
Reconciled Cost of Revenue,"12,920,000","12,817,000","12,942,000","13,021,000","9,559,000"
Reconciled Depreciation,"1,605,000","1,812,000","2,056,000","2,128,000","1,154,000"
Net Income from Continuing Operation Net Minority Interest,"-595,000","-754,000","675,000","397,000","242,000"
Total Unusual Items Excluding Goodwill,"-49,000","-166,000","-215,000","-232,000","-345,000"
Total Unusual Items,"-49,000","-166,000","-215,000","-232,000","-345,000"
Normalized EBITDA,"1,392,000","2,160,000","5,032,000","3,976,000","1,918,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-7,645","-44,820","-58,050","-92,800","-138,000"
