Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,254,300","7,523,100","7,679,500","7,648,500","7,472,300"
Cost of Revenue,"4,493,800","4,863,600","5,168,400","4,869,800","4,832,900"
Gross Profit,"2,760,500","2,659,500","2,511,100","2,778,700","2,639,400"
Operating Expense,"1,145,300","1,128,100","1,042,700","993,500","957,300"
Operating Income,"1,615,200","1,531,400","1,468,400","1,785,200","1,682,100"
Net Non Operating Interest Income Expense,"-506,500","-501,500","-445,100","-415,700","-402,700"
Other Income Expense,"208,200","229,800","207,000","218,900","227,300"
Pretax Income,"1,316,900","1,259,700","1,230,300","1,588,400","1,506,700"
Tax Provision,"150,000","125,000","169,800","383,500","566,500"
Net Income Common Stockholders,"1,166,400","1,134,000","1,059,300","1,203,700","939,000"
Diluted NI Available to Com Stockholders,"1,166,400","1,134,000","1,059,300","1,203,700","939,000"
Basic EPS,-,-,0.0034,0.0038,0.003
Diluted EPS,-,-,0.0033,0.0038,0.003
Basic Average Shares,-,-,"315,500","315,600","315,600"
Diluted Average Shares,-,-,"316,900","317,200","316,900"
Total Operating Income as Reported,"1,615,200","1,531,400","1,468,400","1,785,200","1,682,100"
Total Expenses,"5,639,100","5,991,700","6,211,100","5,863,300","5,790,200"
Interest Expense,"506,500","501,500","445,100","415,700","402,700"
Net Interest Income,"-506,500","-501,500","-445,100","-415,700","-402,700"
Net Income from Continuing & Discontinued Operation,"1,167,600","1,135,200","1,060,500","1,204,900","940,200"
Normalized Income,"1,156,701","1,103,124","1,047,398","1,194,805","912,307"
EBIT,"1,823,400","1,761,200","1,675,400","2,004,100","1,909,400"
EBITDA,"2,762,400",-,-,-,-
Reconciled Cost of Revenue,"4,493,800","4,863,600","5,168,400","4,869,800","4,832,900"
Reconciled Depreciation,"939,000","926,300","845,800","798,600","762,600"
Net Income from Continuing Operation Net Minority Interest,"1,167,600","1,135,200","1,060,500","1,204,900","940,200"
Total Unusual Items Excluding Goodwill,"12,300","35,600","15,200","13,300","44,700"
Total Unusual Items,"12,300","35,600","15,200","13,300","44,700"
Normalized EBITDA,"2,750,100","2,651,900","2,506,000","2,789,400","2,627,300"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"1,401","3,524","2,098","3,205","16,807"
