Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,193,000","9,039,000","8,513,000","8,202,000","7,887,000"
Cost of Revenue,"5,295,000","5,249,000","5,123,000","4,745,000","4,646,000"
Gross Profit,"3,898,000","3,790,000","3,390,000","3,457,000","3,241,000"
Operating Expense,"2,318,000","2,214,000","2,099,000","2,318,000","2,320,000"
Operating Income,"1,580,000","1,576,000","1,291,000","1,139,000","921,000"
Net Non Operating Interest Income Expense,"-241,000","-234,000","-208,000","-188,000","-184,000"
Other Income Expense,"14,000","-20,000","-232,000","-462,000","-397,000"
Pretax Income,"1,353,000","1,322,000","851,000","489,000","340,000"
Tax Provision,"260,000","249,000","136,000","-100,000","-96,000"
Earnings from Equity Interest Net of Tax,-,-,-,"3,000","2,000"
Net Income Common Stockholders,"1,062,000","1,044,000","695,000","568,000","420,000"
Diluted NI Available to Com Stockholders,"1,062,000","1,044,000","695,000","568,000","420,000"
Basic EPS,-,-,0.0053,0.0042,0.0023
Diluted EPS,-,-,0.0053,0.0042,0.0023
Basic Average Shares,-,-,"131,000","135,000","137,000"
Diluted Average Shares,-,-,"132,000","136,000","138,000"
Total Operating Income as Reported,"1,330,000","1,329,000","809,000","738,000","551,000"
Total Expenses,"7,613,000","7,463,000","7,222,000","7,063,000","6,966,000"
Net Income from Continuing & Discontinued Operation,"1,062,000","1,044,000","695,000","568,000","420,000"
Normalized Income,"1,074,925","1,075,668","884,840","886,795","706,881"
Interest Expense,"241,000","234,000","208,000","188,000","184,000"
Net Interest Income,"-241,000","-234,000","-208,000","-188,000","-184,000"
EBIT,"1,594,000","1,556,000","1,059,000","677,000","524,000"
EBITDA,"2,361,000",-,-,-,-
Reconciled Cost of Revenue,"5,295,000","5,249,000","5,118,000","4,696,000","4,646,000"
Reconciled Depreciation,"767,000","729,000","747,000","833,000","769,000"
Net Income from Continuing Operation Net Minority Interest,"1,062,000","1,044,000","695,000","568,000","420,000"
Total Unusual Items Excluding Goodwill,"-16,000","-39,000","-226,000","-401,000","-399,000"
Total Unusual Items,"-16,000","-39,000","-226,000","-401,000","-399,000"
Normalized EBITDA,"2,377,000","2,324,000","2,032,000","1,911,000","1,692,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,075","-7,332","-36,160","-82,205","-112,119"
