Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"15,455,000","15,455,000","14,914,000","14,485,000","13,609,000"
Cost of Revenue,"9,496,000","9,496,000","9,249,000","9,021,000","8,486,000"
Gross Profit,"5,959,000","5,959,000","5,665,000","5,464,000","5,123,000"
Operating Expense,"3,205,000","3,205,000","2,930,000","2,844,000","2,711,000"
Operating Income,"2,754,000","2,754,000","2,735,000","2,620,000","2,412,000"
Net Non Operating Interest Income Expense,"-411,000","-411,000","-374,000","-363,000","-376,000"
Other Income Expense,"-238,000","-238,000","15,000","-66,000","-214,000"
Pretax Income,"2,105,000","2,105,000","2,376,000","2,191,000","1,822,000"
Tax Provision,"434,000","434,000","453,000","242,000","642,000"
Net Income Common Stockholders,"1,670,000","1,670,000","1,925,000","1,949,000","1,182,000"
Diluted NI Available to Com Stockholders,"1,670,000","1,670,000","1,925,000","1,949,000","1,182,000"
Basic EPS,-,-,0.0045,0.0044,0.0027
Diluted EPS,-,-,0.0045,0.0044,0.0027
Basic Average Shares,-,-,"429,100","438,800","443,500"
Diluted Average Shares,-,-,"432,200","441,900","446,500"
Total Operating Income as Reported,"2,706,000","2,706,000","2,789,000","2,636,000","2,296,000"
Total Expenses,"12,701,000","12,701,000","12,179,000","11,865,000","11,197,000"
Net Income from Continuing & Discontinued Operation,"1,670,000","1,670,000","1,925,000","1,949,000","1,182,000"
Normalized Income,"1,775,589","1,775,589","1,881,260","1,940,100","1,259,760"
Interest Expense,"411,000","411,000","374,000","363,000","376,000"
Net Interest Income,"-411,000","-411,000","-374,000","-363,000","-376,000"
EBIT,"2,516,000","2,516,000","2,750,000","2,554,000","2,198,000"
EBITDA,"4,090,000",-,-,-,-
Reconciled Cost of Revenue,"9,496,000","9,496,000","9,249,000","9,021,000","8,486,000"
Reconciled Depreciation,"1,574,000","1,574,000","1,477,000","1,376,000","1,301,000"
Net Income from Continuing Operation Net Minority Interest,"1,670,000","1,670,000","1,925,000","1,949,000","1,182,000"
Total Unusual Items Excluding Goodwill,"-133,000","-133,000","54,000","10,000","-120,000"
Total Unusual Items,"-133,000","-133,000","54,000","10,000","-120,000"
Normalized EBITDA,"4,223,000","4,223,000","4,173,000","3,920,000","3,619,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-27,411","-27,411","10,260","1,100","-42,240"
