Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,821,076","7,932,911","7,718,718","7,343,332","7,666,088"
Total Expenses,"7,204,063","7,079,991","6,906,624","6,570,562","6,769,650"
Pretax Income,"617,013","852,920","812,094","772,770","896,438"
Tax Provision,"118,168","168,935","163,028","219,433","292,953"
Net Income Common Stockholders,"496,804","681,944","640,749","549,094","601,916"
Diluted NI Available to Com Stockholders,"496,804","681,944","640,749","549,094","601,916"
Basic EPS,-,0.0036,0.0034,0.0029,0.0033
Diluted EPS,-,0.0035,0.0033,0.0028,0.0031
Basic Average Shares,-,"190,722","190,049","187,265","183,977"
Diluted Average Shares,-,"193,521","192,396","193,527","192,830"
Net Income from Continuing & Discontinued Operation,"496,804","681,944","640,749","549,094","601,916"
Normalized Income,"496,804","681,944","640,749","549,094","601,916"
EBIT,"766,435","1,006,329","969,279","920,067","1,037,334"
Reconciled Depreciation,"111,026","113,387","131,108","112,956","86,051"
Net Income from Continuing Operation Net Minority Interest,"496,804","681,944","640,749","549,094","601,916"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
Interest Expense,"149,422","153,409","157,185","147,297","140,896"
