Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,887,900","1,839,900","1,717,400","1,599,100","1,509,100"
Cost of Revenue,"1,262,000","1,234,200","1,172,000","1,086,500","1,008,000"
Gross Profit,"625,900","605,700","545,400","512,600","501,100"
Operating Expense,"304,500","301,100","297,500","275,000","272,900"
Operating Income,"321,400","304,600","247,900","237,600","228,200"
Net Non Operating Interest Income Expense,"-4,500","-4,700","-6,300","-6,500","-7,000"
Other Income Expense,"-8,500","-8,100",-900,"-8,700","-31,400"
Pretax Income,"308,400","291,800","240,700","222,400","189,800"
Tax Provision,"57,900","59,000","41,400","80,900","54,400"
Earnings from Equity Interest Net of Tax,"10,100","8,900","7,600","9,200","8,200"
Net Income Common Stockholders,"260,600","241,700","206,900","150,700","143,600"
Diluted NI Available to Com Stockholders,"260,600","241,700","206,900","150,700","143,600"
Basic EPS,-,0.0033,0.0028,0.002,0.002
Diluted EPS,-,0.0032,0.0027,0.002,0.0019
Basic Average Shares,-,"74,000","73,900","73,900","73,300"
Diluted Average Shares,-,"75,400","75,400","75,800","75,000"
Total Operating Income as Reported,"313,900","296,600","240,300","228,900","196,800"
Total Expenses,"1,566,500","1,535,300","1,469,500","1,361,500","1,280,900"
Net Income from Continuing & Discontinued Operation,"260,600","241,700","206,900","150,700","143,600"
Normalized Income,"266,692","248,084","213,193","156,233","165,988"
Interest Income,"3,700","3,800","2,100","1,300","1,100"
Interest Expense,"8,200","8,500","8,400","7,800","8,100"
Net Interest Income,"-4,500","-4,700","-6,300","-6,500","-7,000"
EBIT,"316,600","300,300","249,100","230,200","197,900"
EBITDA,"420,500",-,-,-,-
Reconciled Cost of Revenue,"1,262,000","1,234,200","1,172,000","1,086,500","1,008,000"
Reconciled Depreciation,"103,900","103,400","104,400","96,700","90,700"
Net Income from Continuing Operation Net Minority Interest,"260,600","241,700","206,900","150,700","143,600"
Total Unusual Items Excluding Goodwill,"-7,500","-8,000","-7,600","-8,700","-31,400"
Total Unusual Items,"-7,500","-8,000","-7,600","-8,700","-31,400"
Normalized EBITDA,"428,000","411,700","361,100","335,600","320,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,408","-1,616","-1,307","-3,167","-9,012"
