Breakdown,ttm,3/31/2020,3/31/2019,3/31/2018,3/31/2017
Total Revenue,"3,162,666","3,162,666","3,059,040","2,539,004","2,349,330"
Cost of Revenue,"1,047,630","1,047,630","955,868","756,368","708,216"
Gross Profit,"2,115,036","2,115,036","2,103,172","1,782,636","1,641,114"
Operating Expense,"1,294,786","1,294,786","1,146,373","1,004,231","941,720"
Operating Income,"820,250","820,250","956,799","778,405","699,394"
Net Non Operating Interest Income Expense,"12,642","12,642","24,412","12,767","-2,832"
Other Income Expense,"1,092","1,092","-12,879","-40,761","-5,482"
Pretax Income,"833,984","833,984","968,332","750,411","691,080"
Tax Provision,"41,263","41,263","78,582","238,030","68,568"
Net Income Common Stockholders,"792,721","792,721","889,750","512,381","622,512"
Diluted NI Available to Com Stockholders,"792,721","792,721","889,750","512,381","622,512"
Basic EPS,-,-,0.0035,0.0019,0.0025
Diluted EPS,-,-,0.0035,0.0018,0.0023
Basic Average Shares,-,-,"252,762","249,595","252,301"
Diluted Average Shares,-,-,"256,434","257,960","268,813"
Total Operating Income as Reported,"791,888","791,888","956,799","745,054","699,394"
Total Expenses,"2,342,416","2,342,416","2,102,241","1,760,599","1,649,936"
Net Income from Continuing & Discontinued Operation,"792,721","792,721","889,750","512,381","622,512"
Normalized Income,"819,665","819,665","889,750","535,060","622,512"
Interest Income,"52,462","52,462","77,295","58,604","51,121"
Interest Expense,"39,820","39,820","52,883","45,837","53,953"
Net Interest Income,"12,642","12,642","24,412","12,767","-2,832"
EBIT,"873,804","873,804","1,021,215","796,248","745,033"
EBITDA,"1,031,337",-,-,-,-
Reconciled Cost of Revenue,"898,986","898,986","856,438","661,766","650,717"
Reconciled Depreciation,"157,533","157,533","104,360","96,754","62,626"
Net Income from Continuing Operation Net Minority Interest,"792,721","792,721","889,750","512,381","622,512"
Total Unusual Items Excluding Goodwill,"-28,362","-28,362",0,"-33,351",0
Total Unusual Items,"-28,362","-28,362",0,"-33,351",0
Normalized EBITDA,"1,059,699","1,059,699","1,125,575","926,353","807,659"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,418","-1,418",0,"-10,672",0
