Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,957,300","4,029,200","3,986,300","3,993,400","3,745,300"
Cost of Revenue,"1,824,100","1,864,100","1,918,500","1,804,900","1,744,400"
Gross Profit,"2,133,200","2,165,100","2,067,800","2,188,500","2,000,900"
Operating Expense,"1,685,100","1,723,500","1,719,100","1,674,700","1,523,000"
Operating Income,"448,100","441,600","348,700","513,800","477,900"
Net Non Operating Interest Income Expense,"-26,000","-27,000","-35,200","-35,900","-33,900"
Other Income Expense,"-260,200","-69,200","-1,271,900","-2,081,400","-3,100"
Pretax Income,"161,900","345,400","-958,400","-1,603,500","440,900"
Tax Provision,"77,900","82,300","52,500","-53,200","9,500"
Earnings from Equity Interest Net of Tax,-,-,-,-,0
Net Income Common Stockholders,"83,800","262,900","-1,011,000","-1,550,000","429,900"
Diluted NI Available to Com Stockholders,"83,800","262,900","-1,011,000","-1,550,000","429,900"
Basic EPS,-,-,-0.0045,-0.0069,0.002
Diluted EPS,-,-,-0.0045,-0.0069,0.0019
Basic Average Shares,-,-,"224,300","229,400","218,000"
Diluted Average Shares,-,-,"224,300","229,400","221,600"
Total Operating Income as Reported,"188,800","360,900","-958,100","-1,562,300","454,700"
Total Expenses,"3,509,200","3,587,600","3,637,600","3,479,600","3,267,400"
Net Income from Continuing & Discontinued Operation,"83,800","262,900","-1,011,000","-1,550,000","429,900"
Normalized Income,"273,089","303,896","-52,802","457,589","452,590"
Interest Income,"1,700","2,400","2,100","2,400","2,000"
Interest Expense,"27,700","29,400","37,300","38,300","35,900"
Net Interest Income,"-26,000","-27,000","-35,200","-35,900","-33,900"
EBIT,"189,600","374,800","-921,100","-1,565,200","476,800"
EBITDA,"508,700",-,-,-,-
Reconciled Cost of Revenue,"1,824,100","1,864,100","1,918,500","1,804,900","1,744,400"
Reconciled Depreciation,"319,100","322,800","330,800","316,400","271,700"
Net Income from Continuing Operation Net Minority Interest,"83,800","262,900","-1,011,000","-1,550,000","429,900"
Total Unusual Items Excluding Goodwill,"-259,300","-53,800","-1,312,600","-2,076,100","-23,200"
Total Unusual Items,"-259,300","-53,800","-1,312,600","-2,076,100","-23,200"
Normalized EBITDA,"768,000","751,400","722,300","827,300","771,700"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-70,011","-12,804","-354,402","-68,511",-510.4
