Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,606,000","5,597,000","5,688,000","5,878,000","6,366,000"
Cost of Revenue,"1,261,000","1,235,000","1,634,000","2,954,000","3,498,000"
Gross Profit,"4,345,000","4,362,000","4,054,000","2,924,000","2,868,000"
Operating Expense,"2,486,000","2,465,000","2,291,000","1,236,000","1,363,000"
Operating Income,"1,859,000","1,897,000","1,763,000","1,688,000","1,505,000"
Net Non Operating Interest Income Expense,"-489,000","-486,000","-452,000","-440,000","-307,000"
Other Income Expense,"-201,000","-38,000","528,000","1,026,000","120,000"
Pretax Income,"1,169,000","1,373,000","1,839,000","2,274,000","1,318,000"
Tax Provision,"54,000","79,000","297,000","934,000","324,000"
Net Income Common Stockholders,"1,115,000","1,294,000","1,542,000","1,340,000","1,619,000"
Diluted NI Available to Com Stockholders,"1,115,000","1,294,000","1,542,000","1,340,000","1,619,000"
Basic EPS,-,0.0042,0.0048,0.0039,0.0042
Diluted EPS,-,0.0041,0.0047,0.0038,0.0041
Basic Average Shares,-,"306,000","322,000","347,000","394,000"
Diluted Average Shares,-,"313,000","329,000","355,000","400,000"
Total Operating Income as Reported,"1,747,000","1,930,000","2,296,000","2,761,000","1,625,000"
Rent Expense Supplemental,-,-,-,"912,000","1,120,000"
Total Expenses,"3,747,000","3,700,000","3,925,000","4,190,000","4,861,000"
Net Income from Continuing & Discontinued Operation,"1,115,000","1,294,000","1,542,000","1,340,000","1,619,000"
Normalized Income,"1,302,900","1,326,062","1,087,804","696,200","903,520"
Interest Expense,"489,000","486,000","452,000","440,000","307,000"
Net Interest Income,"-489,000","-486,000","-452,000","-440,000","-307,000"
EBIT,"1,658,000","1,859,000","2,291,000","2,714,000","1,625,000"
EBITDA,"1,771,000",-,-,-,-
Reconciled Cost of Revenue,"1,261,000","1,235,000","1,634,000","2,954,000","3,498,000"
Reconciled Depreciation,"113,000","112,000","137,000","253,000","309,000"
Net Income from Continuing Operation Net Minority Interest,"1,115,000","1,294,000","1,542,000","1,340,000","994,000"
Total Unusual Items Excluding Goodwill,"-197,000","-34,000","542,000","1,073,000","120,000"
Total Unusual Items,"-197,000","-34,000","542,000","1,073,000","120,000"
Normalized EBITDA,"1,968,000","2,005,000","1,886,000","1,894,000","1,814,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-9,100","-1,938","87,804","429,200","29,520"
