Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,790,500","7,982,200","7,932,900","7,824,100","7,683,900"
Cost of Revenue,"2,186,300","2,252,600","2,271,900","2,132,900","2,381,800"
Gross Profit,"5,604,200","5,729,600","5,661,000","5,691,200","5,302,100"
Operating Expense,"4,489,900","4,459,800","4,513,800","4,343,500","4,214,900"
Operating Income,"1,114,300","1,269,800","1,147,200","1,347,700","1,087,200"
Net Non Operating Interest Income Expense,"-219,800","-226,900","-289,300","-325,300","-355,000"
Other Income Expense,"-784,300","-137,100","-1,129,000","-557,800","-332,600"
Pretax Income,"110,200","905,800","-271,100","464,600","399,600"
Tax Provision,"-266,000","-225,700","108,200","-1,348,800","95,000"
Net Income Common Stockholders,"377,000","1,131,600","-379,200","1,813,800","305,900"
Diluted NI Available to Com Stockholders,"377,000","1,131,600","-379,200","1,813,800","305,900"
Basic EPS,-,0.0055,-0.0019,0.0091,0.0015
Diluted EPS,-,0.0055,-0.0019,0.009,0.0015
Basic Average Shares,-,"205,100","203,500","201,900","200,000"
Diluted Average Shares,-,"206,700","203,500","203,700","202,400"
Total Operating Income as Reported,"331,300","1,137,500","33,800","808,200","825,900"
Total Expenses,"6,676,200","6,712,400","6,785,700","6,476,400","6,596,700"
Net Income from Continuing & Discontinued Operation,"377,000","1,131,600","-379,200","1,813,800","305,900"
Normalized Income,"948,590","1,228,179","433,582","2,137,500","505,011"
Interest Income,-,-,"3,300","2,200","2,900"
Interest Expense,"219,800","226,900","289,300","327,500","357,900"
Net Interest Income,"-219,800","-226,900","-289,300","-325,300","-355,000"
EBIT,"330,000","1,132,700","18,200","792,100","757,500"
EBITDA,"1,341,400",-,-,-,-
Reconciled Cost of Revenue,"1,763,400","1,830,800","1,827,300","1,674,100","1,908,400"
Reconciled Depreciation,"1,011,400","1,006,100","1,040,500","1,062,700","1,039,300"
Net Income from Continuing Operation Net Minority Interest,"377,000","1,131,600","-379,200","1,813,800","305,900"
Total Unusual Items Excluding Goodwill,"-783,000","-132,300","-1,113,400","-539,500","-261,300"
Total Unusual Items,"-783,000","-132,300","-1,113,400","-539,500","-261,300"
Normalized EBITDA,"2,124,400","2,271,100","2,172,100","2,394,300","2,058,100"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-211,410","-35,721","-300,618","-215,800","-62,189"
