Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,471,000","4,485,000","4,218,000","3,722,000","3,574,000"
Cost of Revenue,"2,399,000","2,385,000","2,237,000","2,012,000","1,932,000"
Gross Profit,"2,072,000","2,100,000","1,981,000","1,710,000","1,642,000"
Operating Expense,"1,356,000","1,376,000","1,352,000","1,322,000","1,356,000"
Operating Income,"716,000","724,000","629,000","388,000","286,000"
Net Non Operating Interest Income Expense,"-110,000","-89,000","-91,000","-227,000","-193,000"
Other Income Expense,"-36,000","-37,000","-14,000","-73,000","-222,000"
Pretax Income,"570,000","598,000","524,000","88,000","-129,000"
Tax Provision,"52,000","54,000","103,000","71,000","8,000"
Net Income Common Stockholders,"518,000","544,000","421,000","17,000","-137,000"
Diluted NI Available to Com Stockholders,"518,000","544,000","421,000","17,000","-137,000"
Basic EPS,-,0.0101,0.0079,0,-0.0027
Diluted EPS,-,0.01,0.0078,0,-0.0027
Basic Average Shares,-,"53,991","53,562","53,022","51,579"
Diluted Average Shares,-,"54,594","54,253","53,689","51,579"
Total Operating Income as Reported,"684,000","692,000","610,000","322,000","80,000"
Total Expenses,"3,755,000","3,761,000","3,589,000","3,334,000","3,288,000"
Net Income from Continuing & Discontinued Operation,"518,000","544,000","421,000","17,000","-137,000"
Normalized Income,"552,533","578,580","440,272","57,200","-10,400"
Interest Expense,"110,000","89,000","91,000","227,000","193,000"
Net Interest Income,"-110,000","-89,000","-91,000","-227,000","-193,000"
EBIT,"680,000","687,000","615,000","315,000","64,000"
EBITDA,"842,000",-,-,-,-
Reconciled Cost of Revenue,"2,328,000","2,313,000","2,159,000","1,933,000","1,857,000"
Reconciled Depreciation,"162,000","175,000","175,000","263,000","304,000"
Net Income from Continuing Operation Net Minority Interest,"518,000","544,000","421,000","17,000","-137,000"
Total Unusual Items Excluding Goodwill,"-38,000","-38,000","-24,000","-67,000","-211,000"
Total Unusual Items,"-38,000","-38,000","-24,000","-67,000","-211,000"
Normalized EBITDA,"880,000","900,000","814,000","645,000","579,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,467","-3,420","-4,728","-26,800","-84,400"
