Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,339,000","6,260,000","5,825,000","5,307,000","4,888,000"
Cost of Revenue,"1,933,000","1,992,000","1,911,000","1,775,000","1,666,000"
Gross Profit,"4,406,000","4,268,000","3,914,000","3,532,000","3,222,000"
Operating Expense,"2,277,000","2,250,000","2,033,000","1,807,000","1,825,000"
Operating Income,"2,129,000","2,018,000","1,881,000","1,725,000","1,397,000"
Net Non Operating Interest Income Expense,"-187,000","-186,000","-175,000","-175,000","-166,000"
Other Income Expense,"-25,000","-31,000","-16,000","-25,000","-3,000"
Pretax Income,"1,917,000","1,801,000","1,690,000","1,525,000","1,228,000"
Tax Provision,"306,000","301,000","266,000","663,000","409,000"
Net Income Common Stockholders,"1,611,000","1,500,000","1,428,000","864,000","821,000"
Diluted NI Available to Com Stockholders,"1,611,000","1,500,000","1,428,000","864,000","821,000"
Basic EPS,-,-,0.003,0.0018,0.0017
Diluted EPS,-,-,0.0029,0.0018,0.0017
Basic Average Shares,-,-,"483,063","489,918","495,715"
Diluted Average Shares,-,-,"486,898","493,161","498,225"
Total Expenses,"4,210,000","4,242,000","3,944,000","3,582,000","3,491,000"
Net Income from Continuing & Discontinued Operation,"1,611,000","1,500,000","1,428,000","864,000","821,000"
Normalized Income,"1,626,127","1,539,151","1,477,737","894,600","849,681"
Interest Income,"33,000","37,000","31,000",-,-
Interest Expense,"220,000","223,000","206,000","175,000","166,000"
Net Interest Income,"-187,000","-186,000","-175,000","-175,000","-166,000"
EBIT,"2,137,000","2,024,000","1,896,000","1,700,000","1,394,000"
EBITDA,"2,561,000",-,-,-,-
Reconciled Cost of Revenue,"1,666,000","1,735,000","1,720,000","1,624,000","1,511,000"
Reconciled Depreciation,"424,000","412,000","308,000","242,000","240,000"
Net Income from Continuing Operation Net Minority Interest,"1,611,000","1,500,000","1,428,000","864,000","821,000"
Total Unusual Items Excluding Goodwill,"-18,000","-47,000","-59,000","-51,000","-43,000"
Total Unusual Items,"-18,000","-47,000","-59,000","-51,000","-43,000"
Normalized EBITDA,"2,579,000","2,483,000","2,263,000","1,993,000","1,677,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,873","-7,849","-9,263","-20,400","-14,319"
